FIDE,Name,Title,Fed,Std.,Rpd.,Blz.,B-Year,Rank
4108116,Maksim Chigaev,GM,ESP,2638,2611,2542,1996,
605506,Etienne Bacrot,GM,FRA,2637,2644,2590,1983,
10601457,Bassem Amin,GM,EGY,2636,2593,2589,1988,
14109182,Yuriy Kryvoruchko,GM,UKR,2632,2681,2587,1986,
44507356,Ediz Gurel,GM,TUR,2631,2502,2503,2008,
1510045,Aryan Tari,GM,NOR,2631,2554,2590,1999,
13402129,Eltaj Safarli,GM,AZE,2630,2627,2634,1992,
950122,Velimir Ivic,GM,SRB,2630,2490,2523,2002,
13302507,Robert Hovhannisyan,GM,ARM,2629,2522,2571,1991,
14107090,Andrei Volokitin,GM,UKR,2628,2551,2503,1986,
13306553,Haik M. Martirosyan,GM,ARM,2628,2609,2680,2000,
1000268,Loek Van Wely,GM,NED,2628,2552,2527,1972,
8601429,Yue Wang,GM,CHN,2627,2628,2641,1987,
4189302,Sanan Sjugirov,GM,HUN,2627,2550,2597,1993,
2905540,Ivan Cheparinov,GM,BUL,2627,2614,2600,1986,
14603853,Luka Lenic,GM,SLO,2626,2640,2631,1988,
13300881,Gabriel Sargissian,GM,ARM,2626,2613,2561,1983,
13306677,Aram Hakobyan,GM,ARM,2625,2548,2581,2001,
2285525,David Anton Guijarro,GM,ESP,2625,2620,2560,1995,
24603295,Alexander Donchenko,GM,GER,2624,2577,2576,1998,
8604436,Chao b Li,GM,CHN,2624,2594,2684,1989,
240990,Daniel Dardha,GM,BEL,2624,2583,2597,2005,
4201345,Ioannis Papaioannou,GM,GRE,2623,2614,2666,1976,
14103320,Ruslan Ponomariov,GM,UKR,2622,2640,2589,1983,
4657101,Rasmus Svane,GM,GER,2620,2619,2640,1997,
4160258,Anton Demchenko,GM,SLO,2620,2512,2492,1987,
2293307,Jaime Santos Latasa,GM,ESP,2620,2671,2611,1996,
5084423,Aryan Chopra,GM,IND,2619,2598,2620,2001,
1503707,Jon Ludvig Hammer,GM,NOR,2618,2637,2549,1990,
1400355,Peter Heine Nielsen,GM,DEN,2617,2669,2546,1973,
14105730,Anton Korobov,GM,UKR,2616,2624,2643,1985,
2209390,Alexei Shirov,GM,ESP,2616,2654,2620,1972,
1007998,Erwin L'Ami,GM,NED,2616,2640,2675,1985,
35028561,Leon Luke Mendonca,GM,IND,2615,2498,2483,2006,
8608288,Xiangyu Xu,GM,CHN,2615,2605,2544,1999,
404853,Luke J McShane,GM,ENG,2615,2668,2594,1984,
4118987,Evgeniy Najer,GM,FID,2613,2568,2517,1977,
2809052,Tamir Nabaty,GM,ISR,2613,2658,2627,1991,
13402935,Vasif Durarbayli,GM,AZE,2612,2560,2570,1992,
4125029,Alexander Riazantsev,GM,RUS,2612,2527,2522,1985,
35028600,Pranesh M,GM,IND,2611,2509,2553,2006,
30920019,Abhimanyu Mishra,GM,USA,2611,2600,2508,2009,
13302531,Samvel Ter-Sahakyan,GM,ARM,2611,2554,2554,1993,
36083534,MarcAndria Maurizzi,GM,FRA,2610,2489,2502,2007,
8603154,Qun Ma,GM,CHN,2610,2609,2598,1991,
4170350,Ivan Popov,GM,RUS,2610,2577,2554,1990,
24107581,Alexandr Predke,GM,SRB,2609,2600,2587,1994,
4168003,Maxim Matlakov,GM,RUS,2609,2635,2601,1991,
728446,Imre Balog,GM,HUN,2609,2597,2572,1991,
662399,Maxime Lagarde,GM,FRA,2609,2594,2556,1994,
34189030,Aleksey Grebnev,GM,FID,2608,2512,2480,2006,
24650684,Dennis Wagner,GM,GER,2608,2420,2467,1997,
14100010,Vasyl Ivanchuk,GM,UKR,2608,2642,2632,1969,
30909694,Christopher Woojin Yoo,GM,USA,2607,2497,2559,2006,
14114038,Volodymyr Onyshchuk,GM,UKR,2607,2635,2633,1991,
2000024,Gata Kamsky,GM,FRA,2606,2640,2660,1974,
13515110,Denis Lazavik,GM,BLR,2605,2579,2609,2006,
22291482,Miguel Santos Ruiz,GM,ESP,2604,2486,2529,1999,
718572,Ferenc Berkes,GM,HUN,2604,2626,2664,1985,
46626786,Pranav Anand,GM,IND,2603,2421,2393,2006,
13413937,Aydin Suleymanli,GM,AZE,2602,2535,2584,2005,
608742,Laurent Fressinet,GM,FRA,2602,2584,2546,1981,
14120828,Olexandr Bortnyk,GM,UKR,2601,2641,2793,1996,
13900048,Victor Bologan,GM,MDA,2601,2476,2454,1971,
14112906,Yuriy Kuzubov,GM,UKR,2600,2591,2512,1990,
12401110,Ngoc Truong Son Nguyen,GM,VIE,2600,2550,2527,1990,
8601674,Weiqi Zhou,GM,CHN,2600,2607,2590,1986,
310204,Sergei Movsesian,GM,ARM,2600,2609,2568,1978,
20000197,"Oro, Faustino",IM,ARG,2464,2489,2491,2013,
